HomeWins,HomeTie,HomeLoss,AwayWins,AwayTie,AwayLoss,Games,HomeTeam,AwayTeam,OP1,OPX,OP2,book1,bookX,book2
0,0,0,0,0,0,0,Ath Bilbao,Getafe,1.4761904761904763,4.33,8.,Caesars,BetMGM,Fanduel
0,0,0,0,0,0,0,Betis,Girona,2.5,3.5,2.9,BetMGM,BetMGM,Fanduel
0,0,0,0,0,0,0,Celta Vigo,Alaves,2.,3.4,4.,Fanduel,Fanduel,Bet365
0,0,0,0,0,0,0,Las Palmas,Sevilla,2.87,3.25,2.62,Bet365,BetMGM,Bet365
0,0,0,0,0,0,0,Osasuna,Leganes,1.6993006993006992,3.7,5.5,Bet365,BetMGM,Bet365
0,0,0,0,0,0,0,Valencia,Barcelona,4.6,3.8,1.7692307692307692,Fanduel,Fanduel,BetMGM
0,0,0,0,0,0,0,Real Sociedad,Rayo Vallecano,1.5494505494505495,3.8,7.5,Bet365,Fanduel,Bet365
0,0,0,0,0,0,0,Mallorca,Real Madrid,6.25,4.33,1.5714285714285714,Caesars,Bet365,BetMGM
0,0,0,0,0,0,0,Valladolid,Espanyol,2.4,3.2,3.2,Bet365,Fanduel,Bet365
0,0,0,0,0,0,0,Villarreal,Atl. Madrid,2.9,3.6,2.4,Bet365,BetMGM,Fanduel
